2023-01-24 17:08:20,514 INFO    MainThread:51082 [wandb_setup.py:_flush():68] Configure stats pid to 51082
2023-01-24 17:08:20,515 INFO    MainThread:51082 [wandb_setup.py:_flush():68] Loading settings from /home/bdemoss/.config/wandb/settings
2023-01-24 17:08:20,515 INFO    MainThread:51082 [wandb_setup.py:_flush():68] Loading settings from /home/bdemoss/Documents/rocket-league-IDM/wandb/settings
2023-01-24 17:08:20,515 INFO    MainThread:51082 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2023-01-24 17:08:20,515 INFO    MainThread:51082 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2023-01-24 17:08:20,515 INFO    MainThread:51082 [wandb_init.py:_log_setup():478] Logging user logs to /home/bdemoss/Documents/rocket-league-IDM/wandb/run-20230124_170820-t2pbmu77/logs/debug.log
2023-01-24 17:08:20,515 INFO    MainThread:51082 [wandb_init.py:_log_setup():479] Logging internal logs to /home/bdemoss/Documents/rocket-league-IDM/wandb/run-20230124_170820-t2pbmu77/logs/debug-internal.log
2023-01-24 17:08:20,515 INFO    MainThread:51082 [wandb_init.py:_jupyter_setup():428] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x7fa6525ef6a0>
2023-01-24 17:08:20,515 INFO    MainThread:51082 [wandb_init.py:init():518] calling init triggers
2023-01-24 17:08:20,515 INFO    MainThread:51082 [wandb_init.py:init():521] wandb.init called with sweep_config: {}
config: {}
2023-01-24 17:08:20,515 INFO    MainThread:51082 [wandb_init.py:init():571] starting backend
2023-01-24 17:08:20,515 INFO    MainThread:51082 [wandb_init.py:init():575] setting up manager
2023-01-24 17:08:20,517 INFO    MainThread:51082 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-01-24 17:08:20,519 INFO    MainThread:51082 [wandb_init.py:init():582] backend started and connected
2023-01-24 17:08:20,520 INFO    MainThread:51082 [wandb_run.py:_label_probe_notebook():1202] probe notebook
2023-01-24 17:08:20,521 INFO    MainThread:51082 [wandb_run.py:_label_probe_notebook():1212] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2023-01-24 17:08:20,521 INFO    MainThread:51082 [wandb_init.py:init():670] updated telemetry
2023-01-24 17:08:20,607 INFO    MainThread:51082 [wandb_init.py:init():710] communicating run to backend with 60.0 second timeout
2023-01-24 17:08:21,237 INFO    MainThread:51082 [wandb_run.py:_on_init():2121] communicating current version
2023-01-24 17:08:21,347 INFO    MainThread:51082 [wandb_run.py:_on_init():2125] got version response upgrade_message: "wandb version 0.13.9 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-01-24 17:08:21,347 INFO    MainThread:51082 [wandb_init.py:init():758] starting run threads in backend
2023-01-24 17:08:24,272 INFO    MainThread:51082 [wandb_run.py:_console_start():2101] atexit reg
2023-01-24 17:08:24,272 INFO    MainThread:51082 [wandb_run.py:_redirect():1959] redirect: SettingsConsole.WRAP_RAW
2023-01-24 17:08:24,272 INFO    MainThread:51082 [wandb_run.py:_redirect():2024] Wrapping output streams.
2023-01-24 17:08:24,272 INFO    MainThread:51082 [wandb_run.py:_redirect():2046] Redirects installed.
2023-01-24 17:08:24,273 INFO    MainThread:51082 [wandb_init.py:init():798] run started, returning control to user process
2023-01-24 17:08:24,273 INFO    MainThread:51082 [wandb_init.py:_pause_backend():391] pausing backend
2023-01-24 17:08:24,273 INFO    MainThread:51082 [jupyter.py:save_ipynb():379] not saving jupyter notebook
2023-01-24 17:08:26,625 INFO    MainThread:51082 [wandb_init.py:_resume_backend():400] resuming backend
2023-01-24 17:08:27,327 INFO    MainThread:51082 [wandb_init.py:_pause_backend():391] pausing backend
2023-01-24 17:08:27,328 INFO    MainThread:51082 [jupyter.py:save_ipynb():379] not saving jupyter notebook
